sent
1	Кстати	0 кстати CONJ Prnt
5315	постоянно	0 постоянно ADVB
5316	убивают	0 убивать VERB impf tran plur actv pres 3per indc
5317	.	0 . PNCT
/sent
sent
5317	Более	0 более ADVB
5318	полные	0 полный ADJF plur nomn
5319	исторические	0 исторический ADJF plur nomn
5320	материалы	0 материал NOUN masc inan plur nomn
5321	о	0 о PREP
5322	средствах	0 средство NOUN neut inan plur loct
5323	обезболивания	0 обезболивание NOUN neut inan sing gent
5324	сохранились	0 сохраниться VERB perf intr plur past indc
5325	со	0 со PREP
5326	времён	0 время NOUN neut inan plur gent
5327	Древней	0 древний ADJF femn sing gent
5328	Греции	0 Греция NOUN femn inan sing gent
5329	и	0 и CONJ
5330	Древнего	0 древний ADJF masc sing gent
5331	Рима	0 Рим NOUN masc inan sing gent
5332	.	0 . PNCT
/sent
sent
5332	И	0 и CONJ
5333	наконец	0 наконец CONJ Prnt
5334	,	0 , PNCT
5334	мера	0 мера NOUN femn inan sing nomn
5335	проявления	0 проявление NOUN neut inan sing gent
5336	каких	0 какой ADJF Apro plur gent
5337	бы	0 бы PRCL
5338	то	0 то ADJF Apro Subx neut sing nomn
5339	ни	0 ни PRCL
5340	было	0 быть VERB impf intr actv neut sing past indc
5341	свойств	0 свойство NOUN neut inan plur gent
5342	зависит	0 зависеть VERB impf intr actv sing pres 3per indc
5343	не	0 не PRCL
5344	только	0 только PRCL
5345	от	0 от PREP
5346	того	0 то ADJF Apro Subx neut sing gent
5347	,	0 , PNCT
5347	что	0 что ADJF Apro Subx neut sing nomn
5348	или	0 или CONJ
5349	кто	0 кто ADJF Apro Subx masc sing nomn
5350	и	0 и CONJ
5351	в	0 в PREP
5352	каких	0 какой ADJF Apro plur loct
5353	условиях	0 условие NOUN neut inan plur loct
5354	их	0 они ADJF Apro Subx plur 3per accs
5355	порождает	0 порождать VERB impf tran sing actv pres 3per indc
5356	,	0 , PNCT
5356	но	0 но CONJ
5357	также	0 также PRCL
5358	от	0 от PREP
5359	целей	0 цель NOUN femn inan plur gent
5360	их	0 их ADJF Apro
5361	выделения	0 выделение NOUN neut inan sing gent
5362	,	0 , PNCT
5362	особенностей	0 особенность NOUN femn inan plur gent
5363	восприятия	0 восприятие NOUN neut inan sing gent
5364	и	0 и CONJ
5365	представления	0 представление NOUN neut inan sing gent
5366	.	0 . PNCT
/sent
sent
5366	6	0 6 NUMR
5367	.	0 . PNCT
/sent
sent
5367	Авторов	0 автор NOUN masc anim plur accs
5368	"	0 " PNCT
5368	Советов	0 совет NOUN masc inan plur gent
5369	бывалых	0 бывалый ADJF plur gent
5370	"	0 " PNCT
5370	для	0 для PREP
5371	получения	0 получение NOUN neut inan sing gent
5372	гонорара	0 гонорар NOUN masc inan sing gent
5373	просим	0 просить VERB impf tran plur actv pres 1per indc
5374	указывать	0 указывать INFN impf tran actv
5375	имя	0 имя NOUN neut inan sing accs
5376	и	0 и CONJ
5377	отчество	0 отчество NOUN neut inan sing accs
5378	,	0 , PNCT
5378	год	0 год NOUN masc inan sing accs
5379	рождения	0 рождение NOUN neut inan sing gent
5380	,	0 , PNCT
5380	серию	0 серия NOUN femn inan sing accs
5381	и	0 и CONJ
5382	номер	0 номер NOUN masc inan sing accs
5383	паспорта	0 паспорт NOUN masc inan sing gent
5384	,	0 , PNCT
5384	кем	0 кто ADJF Apro Subx masc sing ablt
5385	и	0 и CONJ
5386	когда	0 когда ADVB Ques
5387	выдан	0 выдать PRTS perf masc sing pssv past
5388	,	0 , PNCT
5388	а	0 а CONJ
5389	также	0 также PRCL
5390	контактный	0 контактный ADJF masc sing accs inan
5391	телефон	0 телефон NOUN masc inan sing accs
5392	.	0 . PNCT
/sent
sent
5392	Удачи	0 удача NOUN femn inan sing gent
5393	!	0 ! PNCT
/sent
sent
5393	И	0 и CONJ
5394	даже	0 даже PRCL
5395	пень	0 пень NOUN masc inan sing nomn
5396	в	0 в PREP
5397	апрельский	0 апрельский ADJF masc sing accs inan
5398	день	0 день NOUN masc inan sing accs
5399	берёзкой	0 березка NOUN femn inan sing ablt
5400	снова	0 снова ADVB
5401	стать	0 стать INFN perf intr actv
5402	мечтает	0 мечтать VERB impf intr actv sing pres 3per indc
5403	...	0 ... PNCT
/sent
sent
5403	Элементами	0 элемент NOUN masc inan plur ablt
5404	ФП	0 ФП NOUN plur Fixd ablt
5405	могут	0 мочь VERB impf intr actv plur pres 3per indc
5406	быть	0 быть INFN impf intr actv
5407	всякие	0 всякий ADJF Apro plur nomn
5408	,	0 , PNCT
5408	ничего	0 ничто ADJF Apro Subx neut sing gent
5409	не	0 не PRCL
5410	значащие	0 значащий ADJF plur nomn
5411	эмоциональные	0 эмоциональный ADJF plur nomn
5412	фразы	0 фраза NOUN femn inan plur nomn
5413	и	0 и CONJ
5414	авторские	0 авторский ADJF plur nomn
5415	отступления	0 отступление NOUN neut inan plur nomn
5416	.	0 . PNCT
/sent
sent
5416	Конечно	0 конечно CONJ Prnt
5417	,	0 , PNCT
5417	мы	0 мы ADJF Apro Subx plur 1per nomn
5418	уступаем	0 уступать VERB impf tran plur actv pres 1per indc
5419	"	0 " PNCT
5419	гаражным	0 гаражный ADJF plur datv
5420	"	0 " PNCT
5420	типографиям	0 типография NOUN femn inan plur datv
5421	в	0 в PREP
5422	мобильности	0 мобильность NOUN femn inan sing loct
5423	,	0 , PNCT
5423	никогда	0 никогда ADVB Ques
5424	не	0 не PRCL
5425	сравнимся	0 сравниться VERB perf intr plur futr 1per indc
5426	с	0 с PREP
5427	ними	0 они ADJF Apro Subx plur 3per ablt
5428	в	0 в PREP
5429	ценах	0 цена NOUN femn inan plur loct
5430	и	0 и CONJ
5431	,	0 , PNCT
5431	что	0 что ADJF Apro Subx neut sing nomn
5432	немаловажно	0 немаловажный ADJS neut sing
5433	бывает	0 бывать VERB impf intr actv sing pres 3per indc
5434	для	0 для PREP
5435	заказчика	0 заказчик NOUN masc anim sing gent
5436	,	0 , PNCT
5436	в	0 в PREP
5437	форме	0 форма NOUN femn inan sing loct
5438	оплаты	0 оплата NOUN femn inan sing gent
5439	,	0 , PNCT
5440	-	0 - PNCT
5441	-	0 - PNCT
5442	говорит	0 говорить VERB impf tran sing actv pres 3per indc
5443	Людмила	0 Людмила NOUN femn anim sing nomn
5444	Калинина	0 Калинин NOUN masc inan sing gent
5445	.	0 . PNCT
/sent
sent
5445	Якобы	0 якобы CONJ
5446	я	0 я ADJF Apro Subx sing 1per nomn
5447	--	0 -- PNCT
5447	самый	0 самый ADJF Apro masc sing nomn
5448	мафиозный	0 мафиозный ADJF masc sing nomn
5449	чиновник	0 чиновник NOUN masc anim sing nomn
5450	.	0 . PNCT
/sent
sent
5450	Но	0 но CONJ
5451	одновременная	0 одновременный ADJF femn sing nomn
5452	потеря	0 потеря NOUN femn inan sing nomn
5453	компанией	0 компания NOUN femn inan sing ablt
5454	московского	0 московский ADJF masc sing gent
5455	рынка	0 рынок NOUN masc inan sing gent
5456	не	0 не PRCL
5457	даёт	0 давать VERB impf tran actv sing pres 3per indc
5458	инвесторам	0 инвестор NOUN masc anim plur datv
5459	повода	0 повод NOUN masc inan sing gent
5460	в	0 в PREP
5461	полной	0 полный ADJF femn sing loct
5462	мере	0 мера NOUN femn inan sing loct
5463	оценить	0 оценить INFN perf tran actv
5464	успехи	0 успех NOUN masc inan plur accs
5465	этой	0 этот ADJF Apro femn sing gent
5466	команды	0 команда NOUN femn inan sing gent
5467	.	0 . PNCT
/sent
sent
5467	Наш	0 наш ADJF Apro masc sing nomn
5468	самолёт	0 самолет NOUN masc inan sing nomn
5469	,	0 , PNCT
5469	севший	0 сесть PRTF perf intr actv masc sing nomn past
5470	на	0 на PREP
5471	лёд	0 лед NOUN masc inan sing accs
5472	Волги	0 Волга NOUN femn inan sing gent
5473	.	0 . PNCT
/sent
sent
5473	К	0 к PREP
5474	примеру	0 пример NOUN masc inan sing datv
5475	,	0 , PNCT
5475	Allianz	0 Allianz UNKN
5476	приобрела	0 приобрести VERB perf tran femn sing actv past indc
5477	«	0 « PNCT
5477	РОСНО	0 РОСНО NOUN femn inan Fixd sing accs
5478	»	0 » PNCT
5478	с	0 с PREP
5479	её	0 ее ADJF Apro
5480	разветвлённой	0 разветвить PRTF perf tran femn sing ablt pssv past
5481	региональной	0 региональный ADJF femn sing ablt
5482	сетью	0 сеть NOUN femn inan sing ablt
5483	.	0 . PNCT
/sent
sent
5483	Необычное	0 необычный ADJF neut sing nomn
5484	встречается	0 встречаться VERB impf intr sing pres 3per indc
5485	и	0 и CONJ
5486	под	0 под PREP
5487	капотом	0 капот NOUN masc inan sing ablt
5488	.	0 . PNCT
/sent
sent
5488	Аньес	0 Аньес NOUN femn anim Fixd sing nomn
5489	Летестю	0 Летестю NOUN femn anim Fixd sing nomn
5490	показала	0 показать VERB perf tran femn sing actv past indc
5491	,	0 , PNCT
5491	что	0 что CONJ
5492	быть	0 быть INFN impf intr actv
5493	«	0 « PNCT
5493	проигрывателем	0 проигрыватель NOUN masc inan sing ablt
5494	»	0 » PNCT
5494	для	0 для PREP
5495	балетного	0 балетный ADJF masc sing gent
5496	артиста	0 артист NOUN masc anim sing gent
5497	--	0 -- PNCT
5497	высокое	0 высокий ADJF neut sing nomn
5498	достоинство	0 достоинство NOUN neut inan sing nomn
5499	,	0 , PNCT
5499	не	0 не PRCL
5500	всякому	0 всякий ADJF Apro Subx masc sing datv
5501	доступное	0 доступный ADJF neut sing nomn
5502	умение	0 умение NOUN neut inan sing nomn
5503	,	0 , PNCT
5503	философия	0 философия NOUN femn inan sing nomn
5504	.	0 . PNCT
/sent
sent
5504	Но	0 но CONJ
5505	,	0 , PNCT
5505	тем	0 то ADJF Apro Subx neut sing ablt
5506	не	0 не PRCL
5507	менее	0 мало ADVB
5508	,	0 , PNCT
5508	внешняя	0 внешний ADJF femn sing nomn
5509	обстановка	0 обстановка NOUN femn inan sing nomn
5510	влияет	0 влиять VERB impf intr actv sing pres 3per indc
5511	на	0 на PREP
5512	ваш	0 ваш ADJF Apro masc sing accs inan
5513	театр	0 театр NOUN masc inan sing accs
5514	.	0 . PNCT
/sent
sent
5514	С	0 с PREP
5515	целью	0 цель NOUN femn inan sing ablt
5516	совершенствования	0 совершенствование NOUN neut inan sing gent
5517	организации	0 организация NOUN femn inan sing gent
5518	каждому	0 каждый ADJF Apro neut sing datv
5519	министерству	0 министерство NOUN neut inan sing datv
5520	предоставить	0 предоставить INFN perf tran actv
5521	определённую	0 определенный ADJF femn sing accs
5522	возможность	0 возможность NOUN femn inan sing accs
5523	по	0 по PREP
5524	собственному	0 собственный ADJF neut sing datv
5525	усмотрению	0 усмотрение NOUN neut inan sing datv
5526	и	0 и CONJ
5527	под	0 под PREP
5528	свою	0 свой ADJF Apro femn sing accs
5529	ответственность	0 ответственность NOUN femn inan sing accs
5530	формировать	0 формировать INFN impf tran actv
5531	свою	0 свой ADJF Apro femn sing accs
5532	организационно-штатную	0 организационно-штатный ADJF femn sing accs
5533	структуру	0 структура NOUN femn inan sing accs
5534	и	0 и CONJ
5535	гибко	0 гибко ADVB
5536	перемещать	0 перемещать INFN impf tran actv
5537	кадры	0 кадр NOUN masc inan plur accs
5538	(	0 ( PNCT
5538	проводить	0 проводить INFN impf tran actv
5539	реорганизацию	0 реорганизация NOUN femn inan sing accs
5540	в	0 в PREP
5541	пределах	0 предел NOUN masc inan plur loct
5542	установленного	0 установленный ADJF neut sing gent
5543	числа	0 число NOUN neut inan sing gent
5544	секций	0 секция NOUN femn inan plur gent
5545	,	0 , PNCT
5545	офисов	0 офис NOUN masc inan plur gent
5546	)	0 ) PNCT
5547	.	0 . PNCT
/sent
sent
5548	Как	0 как CONJ
5549	раз	0 раз NOUN masc inan sing nomn
5550	там	0 там ADVB Ques
5551	,	0 , PNCT
5551	в	0 в PREP
5552	местах	0 место NOUN neut inan plur loct
5553	,	0 , PNCT
5553	которые	0 который ADJF Apro plur accs inan
5554	он	0 он ADJF Apro Subx masc sing 3per nomn
5555	курировал	0 курировать VERB impf tran masc sing actv past indc
5556	,	0 , PNCT
5556	были	0 быть VERB impf intr actv plur past indc
5557	созданы	0 создать PRTS perf plur pssv past
5558	лагеря	0 лагерь NOUN masc inan plur nomn
5559	массового	0 массовый ADJF neut sing gent
5560	уничтожения	0 уничтожение NOUN neut inan sing gent
5561	Майданек	0 Майданек NOUN masc inan sing nomn
5562	и	0 и CONJ
5563	Бельжец	0 Бельжец NOUN masc inan sing nomn
5564	.	0 . PNCT
/sent
sent
5564	В	0 в PREP
5565	ярости	0 ярость NOUN femn inan sing loct
5566	поднимается	0 подниматься VERB impf intr sing pres 3per indc
5567	и	0 и CONJ
5568	идёт	0 идти VERB impf intr actv sing pres 3per indc
5569	к	0 к PREP
5570	окну	0 окно NOUN neut inan sing datv
5571	.	0 . PNCT
/sent
sent
5571	Коми	0 коми ADJF Fixd sing nomn
5572	государственный	0 государственный ADJF masc sing nomn
5573	педагогический	0 педагогический ADJF masc sing nomn
5574	институт	0 институт NOUN masc inan sing nomn
5575	откроет	0 открыть VERB perf tran sing actv futr 3per indc
5576	1	0 1 NUMR
5577	сентября	0 сентябрь NOUN masc inan sing gent
5578	двери	0 дверь NOUN femn inan plur accs
5579	505	0 505 NUMR
5580	первокурсникам	0 первокурсник NOUN masc anim plur datv
5581	,	0 , PNCT
5581	большинство	0 большинство NOUN neut inan sing nomn
5582	из	0 из PREP
5583	которых	0 который ADJF Apro plur gent
5584	по	0 по PREP
5585	традиции	0 традиция NOUN femn inan sing datv
5586	девушки	0 девушка NOUN femn anim plur nomn
5587	.	0 . PNCT
/sent
sent
5587	Этот	0 этот ADJF Apro masc sing nomn
5588	метафорический	0 метафорический ADJF masc sing nomn
5589	образ	0 образ NOUN masc inan sing nomn
5590	схематичен	0 схематичный ADJS masc sing
5591	в	0 в PREP
5592	спектакле	0 спектакль NOUN masc inan sing loct
5593	,	0 , PNCT
5593	как	0 как CONJ
5594	астрологический	0 астрологический ADJF masc sing nomn
5595	гороскоп	0 гороскоп NOUN masc inan sing nomn
5596	.	0 . PNCT
/sent
sent
5596	Трехлетняя	0 трехлетний ADJF femn sing nomn
5597	Таня	0 Таня NOUN femn anim sing nomn
5598	интересуется	0 интересоваться VERB impf intr sing pres 3per indc
5599	:	0 : PNCT
5600	-	0 - PNCT
5601	-	0 - PNCT
5602	А	0 а CONJ
5603	кто	0 кто ADJF Apro Subx masc sing nomn
5604	это	0 это PRCL
5605	мне	0 я ADJF Apro Subx sing 1per datv
5606	родинку	0 родинка NOUN femn inan sing accs
5607	пришил	0 пришить VERB perf tran masc sing actv past indc
5608	?	0 ? PNCT
/sent
sent
5608	Кому	0 кто ADJF Apro Subx masc sing datv
5609	понравится	0 понравиться VERB perf intr sing futr 3per indc
5610	,	0 , PNCT
5610	если	0 если CONJ
5611	остановят	0 остановить VERB perf tran plur actv futr 3per indc
5612	и	0 и CONJ
5613	начнут	0 начать VERB perf tran plur actv futr 3per indc
5614	разглядывать	0 разглядывать INFN impf tran actv
5615	:	0 : PNCT
5615	откуда	0 откуда ADVB Ques
5616	у	0 у PREP
5617	тебя	0 ты ADJF Apro Subx sing 2per gent
5618	уши	0 ухо NOUN neut inan plur nomn
5619	растут	0 расти VERB impf intr actv plur pres 3per indc
5620	?	0 ? PNCT
/sent
sent
5620	Позитивно	0 позитивно ADVB
5621	оценивается	0 оцениваться VERB impf intr sing pres 3per indc
5622	и	0 и CONJ
5623	преобразование	0 преобразование NOUN neut inan sing nomn
5624	части	0 часть NOUN femn inan sing gent
5625	общественных	0 общественный ADJF plur gent
5626	предприятий	0 предприятие NOUN neut inan plur gent
5627	в	0 в PREP
5628	самостоятельные	0 самостоятельный ADJF plur accs inan
5629	административные	0 административный ADJF plur accs inan
5630	юридические	0 юридический ADJF plur accs inan
5631	лица	0 лицо NOUN neut inan plur accs
5632	,	0 , PNCT
5632	поскольку	0 поскольку CONJ
5633	это	0 это ADJF Apro Subx neut sing nomn
5634	должно	0 должен ADJS neut sing
5635	привести	0 привести INFN perf tran actv
5636	к	0 к PREP
5637	большей	0 больший ADJF femn sing datv
5638	открытости	0 открытость NOUN femn inan sing datv
5639	и	0 и CONJ
5640	ответственности	0 ответственность NOUN femn inan sing datv
5641	в	0 в PREP
5642	их	0 их ADJF Apro
5643	деятельности	0 деятельность NOUN femn inan sing loct
5644	.	0 . PNCT
/sent
sent
5644	Объём	0 объем NOUN masc inan sing nomn
5645	выплат	0 выплата NOUN femn inan plur gent
5646	по	0 по PREP
5647	купону	0 купон NOUN masc inan sing datv
5648	--	0 -- PNCT
5648	18	0 18 NUMR
5649	,	0 , PNCT
5649	74	0 74 NUMR
5650	млн	0 миллион NOUN masc inan sing gent
5651	рублей	0 рубль NOUN masc inan plur gent
5652	.	0 . PNCT
/sent
sent
5652	В	0 в PREP
5653	общем	0 общее NOUN neut inan sing loct
5654	,	0 , PNCT
5654	обидчиков	0 обидчик NOUN masc anim plur gent
5655	мы	0 мы ADJF Apro Subx plur 1per nomn
5656	немного	0 немного ADVB
5657	"	0 " PNCT
5657	помутузили	0 помутузить VERB perf tran plur actv past indc
5658	"	0 " PNCT
5659	,	0 , PNCT
5660	а	0 а CONJ
5661	нож	0 нож NOUN masc inan sing nomn
5662	у	0 у PREP
5663	меня	0 я ADJF Apro Subx sing 1per gent
5664	до	0 до PREP
5665	сих	0 сей ADJF Apro plur gent
5666	пор	0 пора NOUN femn inan plur gent
5667	дома	0 дома ADVB
5668	лежит	0 лежать VERB impf intr actv sing pres 3per indc
5669	.	0 . PNCT
/sent
sent
5669	Взрывное	0 взрывной ADJF neut sing nomn
5670	устройство	0 устройство NOUN neut inan sing nomn
5671	и	0 и CONJ
5672	инцидент	0 инцидент NOUN masc inan sing nomn
5673	с	0 с PREP
5674	помощником	0 помощник NOUN masc anim sing ablt
5675	,	0 , PNCT
5675	по	0 по PREP
5676	словам	0 слово NOUN neut inan plur datv
5677	Ефремова	0 Ефремов NOUN masc anim sing gent
5678	,	0 , PNCT
5679	-	0 - PNCT
5680	-	0 - PNCT
5681	своеобразные	0 своеобразный ADJF plur nomn
5682	послания	0 послание NOUN neut inan plur nomn
5683	заинтересованных	0 заинтересованный ADJF plur gent
5684	лиц	0 лицо NOUN neut anim plur gent
5685	,	0 , PNCT
5685	намекающие	0 намекать PRTF impf intr actv plur nomn pres
5686	об	0 об PREP
5687	их	0 их ADJF Apro
5688	.	0 . PNCT
/sent
sent
5688	Сценарист	0 сценарист NOUN masc anim sing nomn
5689	и	0 и CONJ
5690	режиссёр	0 режиссер NOUN masc anim sing nomn
5691	Тодд	0 Тодд NOUN masc anim sing nomn
5692	Филипс	0 Филипс NOUN masc anim sing nomn
5693	сейчас	0 сейчас ADVB Ques
5694	готовит	0 готовить VERB impf tran sing actv pres 3per indc
5695	для	0 для PREP
5696	вас	0 вы ADJF Apro Subx plur 2per gent
5697	проект	0 проект NOUN masc inan sing accs
5698	"	0 " PNCT
5698	Человек	0 человек NOUN masc anim sing nomn
5699	стоимостью	0 стоимость NOUN femn inan sing ablt
5700	шесть	0 шесть NUMR accs
5701	миллионов	0 миллион NOUN masc inan plur gent
5702	долларов	0 доллар NOUN masc inan plur gent
5703	"	0 " PNCT
5704	.	0 . PNCT
/sent
sent
5705	Определение	0 определение NOUN neut inan sing nomn
5706	конструкторского	0 конструкторский ADJF neut sing gent
5707	понятия	0 понятие NOUN neut inan sing gent
5708	,	0 , PNCT
5708	стоящее	0 стоить PRTF impf tran actv neut sing nomn pres
5709	первым	0 первый ADJF Anum neut sing ablt
5710	в	0 в PREP
5711	системе	0 система NOUN femn inan sing loct
5712	описания	0 описание NOUN neut inan sing gent
5713	,	0 , PNCT
5713	соответствует	0 соответствовать VERB impf intr actv sing pres 3per indc
5714	изделию	0 изделие NOUN neut inan sing datv
5715	в	0 в PREP
5716	целом	0 целое NOUN neut inan sing loct
5717	.	0 . PNCT
/sent
sent
5717	И	0 и CONJ
5718	тем	0 то ADJF Apro Subx neut sing ablt
5719	не	0 не PRCL
5720	менее	0 менее ADVB
5721	акционеры	0 акционер NOUN masc anim plur nomn
5722	умудрились	0 умудриться VERB perf intr plur past indc
5723	переоснастить	0 переоснастить INFN perf tran actv
5724	мощности	0 мощность NOUN femn inan plur accs
5725	,	0 , PNCT
5725	установив	0 установить GRND perf tran actv past
5726	немецкое	0 немецкий ADJF neut sing accs inan
5727	и	0 и CONJ
5728	чешское	0 чешский ADJF neut sing accs inan
5729	оборудование	0 оборудование NOUN neut inan sing accs
5730	на	0 на PREP
5731	миллионы	0 миллион NOUN masc inan plur accs
5732	долларов	0 доллар NOUN masc inan plur gent
5733	,	0 , PNCT
5733	отладить	0 отладить INFN perf tran actv
5734	производство	0 производство NOUN neut inan sing accs
5735	сопутствующих	0 сопутствовать PRTF impf intr actv plur gent pres
5736	компонентов	0 компонент NOUN masc inan plur gent
5737	,	0 , PNCT
5737	выстроить	0 выстроить INFN perf tran actv
5738	коммерческие	0 коммерческий ADJF plur accs inan
5739	связи	0 связь NOUN femn inan plur accs
5740	.	0 . PNCT
/sent
sent
5740	А	0 а CONJ
5741	отделка	0 отделка NOUN femn inan sing nomn
5742	может	0 мочь VERB impf intr actv sing pres 3per indc
5743	обойтись	0 обойтись INFN perf intr
5744	в	0 в PREP
5745	такую	0 такой ADJF Apro femn sing accs
5746	же	0 же PRCL
5747	цену	0 цена NOUN femn inan sing accs
5748	.	0 . PNCT
/sent
sent
5748	А	0 а CONJ
5749	если	0 если CONJ
5750	серьёзно	0 серьезно ADVB
5751	--	0 -- PNCT
5751	вернувшись	0 вернуться GRND perf intr past
5752	,	0 , PNCT
5752	я	0 я ADJF Apro Subx sing 1per nomn
5753	поняла	0 понять VERB perf tran femn sing actv past indc
5754	,	0 , PNCT
5754	что	0 что CONJ
5755	нам	0 мы ADJF Apro Subx plur 1per datv
5756	уже	0 уже ADVB
5757	будет	0 быть VERB impf intr actv sing futr 3per indc
5758	трудно	0 трудно PRED
5759	друг	0 друг ADJF Apro Subx sing nomn
5760	без	0 без PREP
5761	друга	0 друг ADJF Apro Subx sing gent
5762	.	0 . PNCT
/sent
sent
5762	При	0 при PREP
5763	использовании	0 использование NOUN neut inan sing loct
5764	нейронных	0 нейронный ADJF plur gent
5765	сетей	0 сеть NOUN femn inan plur gent
5766	всегда	0 всегда ADVB Ques
5767	необходимо	0 необходимо PRED
5768	решать	0 решать INFN impf tran actv
5769	две	0 два NUMR femn accs
5770	проблемы	0 проблема NOUN femn inan sing gent
5771	:	0 : PNCT
5771	предварительного	0 предварительный ADJF neut sing gent
5772	обучения	0 обучение NOUN neut inan sing gent
5773	сети	0 сеть NOUN femn inan sing gent
5774	и	0 и CONJ
5775	интерпретации	0 интерпретация NOUN femn inan sing gent
5776	полученных	0 получить PRTF perf tran plur gent pssv past
5777	результатов	0 результат NOUN masc inan plur gent
5778	.	0 . PNCT
/sent
sent
5778	Музыкой	0 музыка NOUN femn inan sing ablt
5779	наполнен	0 наполнить PRTS perf masc sing pssv past
5780	"	0 " PNCT
5780	Автограф	0 автограф NOUN masc inan sing nomn
5781	"	0 " PNCT
5782	!	0 ! PNCT
/sent
sent
5783	Пожилым	0 пожилой ADJF plur datv
5784	загар	0 загар NOUN masc inan sing nomn
5785	показан	0 показать PRTS perf masc sing pssv past
5786	в	0 в PREP
5787	умеренных	0 умерить PRTF perf tran plur loct pssv past
5788	дозах	0 доза NOUN femn inan plur loct
5789	:	0 : PNCT
5789	он	0 он ADJF Apro Subx masc sing 3per nomn
5790	снимает	0 снимать VERB impf tran sing actv pres 3per indc
5791	мышечную	0 мышечный ADJF femn sing accs
5792	,	0 , PNCT
5792	ревматическую	0 ревматический ADJF femn sing accs
5793	боль	0 боль NOUN femn inan sing accs
5794	,	0 , PNCT
5794	стабилизирует	0 стабилизировать VERB impf tran sing actv pres 3per indc
5795	состояние	0 состояние NOUN neut inan sing accs
5796	костей	0 кость NOUN femn inan plur gent
5797	.	0 . PNCT
/sent
sent
5797	В	0 в PREP
5798	связи	0 связь NOUN femn inan sing loc2
5799	с	0 с PREP
5800	чем	0 что ADJF Apro Subx neut sing ablt
5801	было	0 быть VERB impf intr actv neut sing past indc
5802	принято	0 принять PRTS perf neut sing pssv past
5803	решение	0 решение NOUN neut inan sing nomn
5804	закрыть	0 закрыть INFN perf tran actv
5805	магазин	0 магазин NOUN masc inan sing accs
5806	?	0 ? PNCT
/sent
sent
5806	Но	0 но CONJ
5807	если	0 если CONJ
5808	там	0 там ADVB Ques
5809	всё	0 всё ADJF Apro Subx neut sing nomn
5810	изменится	0 измениться VERB perf intr sing futr 3per indc
5811	,	0 , PNCT
5811	мы	0 мы ADJF Apro Subx plur 1per nomn
5812	будем	0 быть VERB impf intr actv plur futr 1per indc
5813	только	0 только PRCL
5814	за	0 за PREP
5815	неё	0 она ADJF Apro Subx femn sing 3per accs
5816	рады	0 рад ADJS plur
5817	и	0 и CONJ
5818	отпустим	0 отпустить VERB perf tran plur actv futr 1per indc
5819	со	0 со PREP
5820	спокойной	0 спокойный ADJF femn sing ablt
5821	душой	0 душа NOUN femn inan sing ablt
5822	.	0 . PNCT
/sent
sent
5822	В	0 в PREP
5823	другом	0 другой ADJF Apro masc sing loct
5824	--	0 -- PNCT
5824	концертная	0 концертный ADJF femn sing nomn
5825	обувь	0 обувь NOUN femn inan sing nomn
5826	.	0 . PNCT
/sent
sent
5826	Тогда	0 тогда ADVB Ques
5827	абсолютно	0 абсолютно ADVB
5828	шаблонно	0 шаблонно ADVB
5829	мы	0 мы ADJF Apro Subx plur 1per nomn
5830	можем	0 мочь VERB impf intr actv plur pres 1per indc
5831	вместо	0 вместо PREP
5832	безликого	0 безликий ADJF neut sing gent
5833	перечисления	0 перечисление NOUN neut inan sing gent
5834	переходов	0 переход NOUN masc inan plur gent
5835	вещей	0 вещь NOUN femn inan plur gent
5836	генерировать	0 генерировать INFN impf tran actv
5837	нечто	0 нечто ADJF Apro Subx neut sing accs
5838	вроде	0 вроде PREP
5839	такого	0 такой ADJF Apro neut sing gent
5840	:	0 : PNCT
5840	Завязка	0 завязка NOUN femn inan sing nomn
5841	:	0 : PNCT
5842	(	0 ( PNCT
5843	A	0 A UNKN
5844	хочет	0 хотеть VERB impf tran actv sing pres 3per indc
5845	иметь	0 иметь INFN impf tran actv
5846	x	0 x UNKN
5847	)	0 ) PNCT
/sent
sent
5847	Если	0 если CONJ
5848	такого	0 такой ADJF Apro masc sing gent
5849	документа	0 документ NOUN masc inan sing gent
5850	нет	0 нет PRED
5851	,	0 , PNCT
5851	но	0 но CONJ
5852	имеются	0 иметься VERB impf intr plur pres 3per indc
5853	,	0 , PNCT
5853	например	0 например CONJ Prnt
5854	,	0 , PNCT
5854	письма	0 письмо NOUN neut inan plur nomn
5855	,	0 , PNCT
5855	из	0 из PREP
5856	которых	0 который ADJF Apro plur gent
5857	следует	0 следовать VERB impf intr actv sing pres 3per indc
5858	,	0 , PNCT
5858	что	0 что CONJ
5859	продавец	0 продавец NOUN masc anim sing nomn
5860	и	0 и CONJ
5861	покупатель	0 покупатель NOUN masc anim sing nomn
5862	договорились	0 договориться VERB perf intr plur past indc
5863	об	0 об PREP
5864	изменении	0 изменение NOUN neut inan sing loct
5865	цен	0 цена NOUN femn inan plur gent
5866	,	0 , PNCT
5866	их	0 они ADJF Apro Subx plur 3per accs
5867	также	0 также PRCL
5868	следует	0 следовать VERB impf intr actv sing pres 3per indc
5869	использовать	0 использовать INFN perf tran actv
5870	в	0 в PREP
5871	качестве	0 качество NOUN neut inan sing loct
5872	доказательства	0 доказательство NOUN neut inan sing gent
5873	своей	0 свой ADJF Apro femn sing gent
5874	правоты	0 правота NOUN femn inan sing gent
5875	.	0 . PNCT
/sent
sent
